"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","NZD","New Zealand Dollar","0","units",,,1.433975,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1992","1992","EUR","Euro","0","units",,,0.321694,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1993","1993","EUR","Euro","0","units",,,0.362503,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1994","1994","EUR","Euro","0","units",,,0.402684,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1995","1995","EUR","Euro","0","units",,,0.433473,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1996","1996","EUR","Euro","0","units",,,0.443835,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1997","1997","EUR","Euro","0","units",,,0.455577,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1998","1998","EUR","Euro","0","units",,,0.470759,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","EUR","Euro","0","units",,,0.500586,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","EUR","Euro","0","units",,,0.525551,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","EUR","Euro","0","units",,,0.521285,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","EUR","Euro","0","units",,,0.527778,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","EUR","Euro","0","units",,,0.554102,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","EUR","Euro","0","units",,,0.572526,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","EUR","Euro","0","units",,,0.56596,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","EUR","Euro","0","units",,,0.555125,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","EUR","Euro","0","units",,,0.545739,,
"SVK","Slovak Republic","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","EUR","Euro","0","units",,,0.532656,,
